freq,psd_x,psd_y,psd_z,psd_xyz
160.1,2.788e+04,5.886e+03,1.557e+04,4.934e+04
161.8,2.764e+04,7.297e+03,2.267e+04,5.761e+04
163.5,2.927e+04,8.197e+03,2.377e+04,6.124e+04
165.2,3.011e+04,6.600e+03,1.923e+04,5.594e+04
166.9,2.952e+04,7.170e+03,1.780e+04,5.449e+04
168.5,2.678e+04,7.786e+03,1.632e+04,5.088e+04
170.2,2.227e+04,5.643e+03,1.328e+04,4.120e+04
171.9,2.064e+04,6.106e+03,1.610e+04,4.284e+04
173.6,1.564e+04,3.720e+03,1.126e+04,3.062e+04
175.3,1.395e+04,3.629e+03,1.253e+04,3.011e+04
177.0,1.485e+04,3.686e+03,1.181e+04,3.035e+04
178.7,1.396e+04,2.931e+03,9.171e+03,2.606e+04
180.3,1.206e+04,2.610e+03,1.009e+04,2.476e+04
182.0,1.143e+04,2.259e+03,9.456e+03,2.314e+04
183.7,1.318e+04,3.058e+03,1.341e+04,2.965e+04
185.4,1.321e+04,2.880e+03,1.251e+04,2.860e+04
187.1,1.146e+04,2.568e+03,1.762e+04,3.165e+04
188.8,1.195e+04,3.040e+03,2.524e+04,4.024e+04
190.5,1.191e+04,3.184e+03,2.369e+04,3.879e+04
192.1,9.904e+03,2.563e+03,1.934e+04,3.180e+04
193.8,1.001e+04,3.100e+03,2.052e+04,3.363e+04
195.5,1.370e+04,6.344e+03,4.289e+04,6.294e+04
197.2,1.284e+04,5.707e+03,3.409e+04,5.263e+04
198.9,1.365e+04,6.400e+03,3.961e+04,5.965e+04
