freq,psd_x,psd_y,psd_z,psd_xyz
164.8,5.929e+03,1.682e+04,3.732e+03,2.648e+04
166.5,6.276e+03,1.523e+04,3.079e+03,2.459e+04
168.2,5.516e+03,1.491e+04,4.401e+03,2.482e+04
169.9,4.454e+03,1.312e+04,5.307e+03,2.288e+04
171.6,4.441e+03,1.094e+04,4.818e+03,2.020e+04
173.3,4.299e+03,1.026e+04,6.000e+03,2.056e+04
175.0,4.397e+03,9.037e+03,5.409e+03,1.884e+04
176.7,3.932e+03,7.017e+03,3.969e+03,1.492e+04
178.4,3.653e+03,5.257e+03,3.860e+03,1.277e+04
180.1,3.951e+03,5.011e+03,3.836e+03,1.280e+04
181.8,3.938e+03,4.631e+03,3.932e+03,1.250e+04
183.5,3.507e+03,4.209e+03,3.632e+03,1.135e+04
185.2,2.894e+03,3.739e+03,3.374e+03,1.001e+04
186.9,3.624e+03,3.383e+03,3.516e+03,1.052e+04
188.6,4.165e+03,3.333e+03,4.285e+03,1.178e+04
190.3,4.110e+03,3.500e+03,6.043e+03,1.365e+04
192.0,2.914e+03,3.615e+03,4.635e+03,1.116e+04
193.7,2.962e+03,3.639e+03,3.585e+03,1.019e+04
195.4,2.918e+03,3.556e+03,3.912e+03,1.039e+04
197.1,2.825e+03,3.159e+03,3.619e+03,9.603e+03
198.8,3.460e+03,3.093e+03,3.348e+03,9.901e+03
