freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.130e+02,1.954e+04,1.225e+03,2.157e+04
1.7,4.616e+03,7.583e+04,4.781e+03,8.523e+04
3.4,6.404e+03,9.547e+04,5.743e+03,1.076e+05
5.1,6.586e+03,1.377e+05,6.407e+03,1.507e+05
6.8,6.530e+03,1.746e+05,7.037e+03,1.882e+05
8.5,5.651e+03,2.511e+05,7.697e+03,2.645e+05
10.2,5.840e+03,4.076e+05,1.057e+04,4.240e+05
11.9,7.179e+03,8.663e+05,1.600e+04,8.894e+05
13.6,9.634e+03,2.066e+06,3.737e+04,2.113e+06
15.3,1.540e+04,3.632e+06,7.455e+04,3.722e+06
17.0,1.814e+04,2.868e+06,9.217e+04,2.978e+06
18.7,1.510e+04,2.071e+06,1.054e+05,2.191e+06
20.4,1.732e+04,1.619e+06,1.310e+05,1.768e+06
22.1,2.874e+04,1.184e+06,1.626e+05,1.375e+06
23.8,4.361e+04,8.973e+05,2.115e+05,1.152e+06
25.5,5.255e+04,6.223e+05,2.468e+05,9.217e+05
27.2,4.780e+04,4.437e+05,2.676e+05,7.591e+05
28.9,7.384e+04,2.456e+05,2.498e+05,5.692e+05
30.6,1.551e+05,1.570e+05,2.360e+05,5.481e+05
32.3,2.098e+05,1.443e+05,2.098e+05,5.638e+05
34.0,1.163e+05,1.546e+05,1.664e+05,4.372e+05
35.7,7.118e+04,1.290e+05,1.108e+05,3.110e+05
37.4,4.020e+04,8.493e+04,5.082e+04,1.759e+05
39.1,2.494e+04,5.842e+04,1.932e+04,1.027e+05
40.8,2.360e+04,3.814e+04,1.190e+04,7.364e+04
42.5,2.102e+04,3.146e+04,8.991e+03,6.147e+04
44.2,2.108e+04,3.039e+04,7.524e+03,5.900e+04
45.9,3.103e+04,2.859e+04,6.463e+03,6.608e+04
47.6,3.421e+04,2.142e+04,6.579e+03,6.221e+04
49.3,2.935e+04,2.156e+04,6.293e+03,5.720e+04
51.0,2.069e+04,2.678e+04,5.736e+03,5.321e+04
52.7,1.810e+04,2.172e+04,5.475e+03,4.529e+04
54.4,1.487e+04,1.925e+04,4.800e+03,3.892e+04
56.1,1.428e+04,2.387e+04,4.455e+03,4.261e+04
57.8,1.758e+04,2.598e+04,5.092e+03,4.866e+04
59.5,2.818e+04,2.139e+04,6.341e+03,5.592e+04
61.2,4.371e+04,2.035e+04,1.165e+04,7.571e+04
62.9,5.322e+04,2.338e+04,1.474e+04,9.133e+04
64.6,3.133e+04,1.790e+04,1.213e+04,6.136e+04
66.3,1.647e+04,1.319e+04,9.628e+03,3.928e+04
68.0,1.218e+04,1.422e+04,8.981e+03,3.538e+04
69.7,1.000e+04,1.529e+04,7.089e+03,3.238e+04
71.4,8.411e+03,1.221e+04,4.387e+03,2.501e+04
73.1,7.957e+03,1.189e+04,4.338e+03,2.418e+04
74.8,9.215e+03,1.283e+04,5.574e+03,2.762e+04
76.5,8.504e+03,1.250e+04,5.967e+03,2.697e+04
78.2,9.232e+03,1.120e+04,5.970e+03,2.640e+04
79.9,8.943e+03,1.133e+04,5.289e+03,2.556e+04
81.6,9.456e+03,1.231e+04,4.026e+03,2.580e+04
83.3,9.663e+03,1.218e+04,3.669e+03,2.551e+04
85.0,1.138e+04,1.023e+04,3.641e+03,2.526e+04
86.7,1.185e+04,1.114e+04,3.779e+03,2.677e+04
88.4,1.382e+04,1.214e+04,4.178e+03,3.014e+04
90.1,1.976e+04,1.134e+04,5.656e+03,3.675e+04
91.8,3.682e+04,1.028e+04,9.655e+03,5.676e+04
93.5,3.467e+04,1.096e+04,1.123e+04,5.686e+04
95.2,1.730e+04,1.003e+04,8.031e+03,3.536e+04
96.9,1.413e+04,1.042e+04,6.717e+03,3.127e+04
98.6,1.393e+04,1.101e+04,5.749e+03,3.069e+04
100.3,1.345e+04,1.079e+04,5.947e+03,3.018e+04
102.0,1.331e+04,1.073e+04,7.757e+03,3.180e+04
103.7,1.768e+04,1.100e+04,9.190e+03,3.787e+04
105.4,2.836e+04,1.352e+04,1.026e+04,5.214e+04
107.1,3.590e+04,1.306e+04,1.184e+04,6.079e+04
108.8,4.371e+04,1.286e+04,1.298e+04,6.954e+04
110.5,4.406e+04,1.249e+04,1.296e+04,6.952e+04
112.2,3.730e+04,1.436e+04,1.576e+04,6.742e+04
113.9,3.633e+04,1.641e+04,2.229e+04,7.503e+04
115.6,2.889e+04,1.487e+04,2.254e+04,6.629e+04
117.3,2.959e+04,1.549e+04,2.680e+04,7.187e+04
119.0,2.768e+04,1.384e+04,2.133e+04,6.285e+04
120.7,3.583e+04,1.187e+04,1.713e+04,6.482e+04
122.4,4.576e+04,1.091e+04,1.509e+04,7.175e+04
124.1,5.034e+04,1.043e+04,1.364e+04,7.441e+04
125.8,4.053e+04,1.195e+04,1.499e+04,6.747e+04
127.5,2.513e+04,1.118e+04,1.356e+04,4.987e+04
129.2,2.134e+04,1.062e+04,9.407e+03,4.138e+04
130.9,1.900e+04,8.970e+03,7.782e+03,3.575e+04
132.6,1.594e+04,7.717e+03,5.693e+03,2.935e+04
134.3,1.491e+04,7.839e+03,6.181e+03,2.893e+04
136.0,1.598e+04,8.674e+03,6.175e+03,3.083e+04
137.7,1.521e+04,1.025e+04,5.648e+03,3.110e+04
139.4,1.393e+04,1.078e+04,5.350e+03,3.006e+04
141.1,1.262e+04,1.064e+04,5.226e+03,2.849e+04
142.8,1.597e+04,1.343e+04,5.983e+03,3.539e+04
