freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.623e+02,1.480e+04,9.242e+02,1.628e+04
1.7,2.584e+03,5.378e+04,3.719e+03,6.008e+04
3.3,3.554e+03,8.141e+04,4.357e+03,8.932e+04
5.0,3.627e+03,1.185e+05,4.642e+03,1.268e+05
6.7,3.696e+03,1.558e+05,4.847e+03,1.643e+05
8.4,4.421e+03,2.128e+05,5.966e+03,2.232e+05
10.0,4.318e+03,2.989e+05,7.498e+03,3.107e+05
11.7,3.763e+03,5.681e+05,1.179e+04,5.837e+05
13.4,3.550e+03,1.225e+06,2.494e+04,1.253e+06
15.1,4.735e+03,2.276e+06,5.405e+04,2.335e+06
16.7,6.741e+03,2.775e+06,9.041e+04,2.873e+06
18.4,6.400e+03,2.242e+06,1.090e+05,2.358e+06
20.1,6.688e+03,1.490e+06,1.123e+05,1.609e+06
21.8,1.150e+04,1.015e+06,1.325e+05,1.159e+06
23.4,1.738e+04,7.366e+05,1.648e+05,9.188e+05
25.1,1.864e+04,5.803e+05,2.108e+05,8.097e+05
26.8,1.707e+04,4.095e+05,2.279e+05,6.545e+05
28.5,2.869e+04,2.251e+05,1.728e+05,4.266e+05
30.1,8.314e+04,1.273e+05,1.351e+05,3.455e+05
31.8,1.124e+05,9.672e+04,1.455e+05,3.546e+05
33.5,6.516e+04,8.647e+04,1.142e+05,2.658e+05
35.1,3.754e+04,7.897e+04,6.871e+04,1.852e+05
36.8,2.121e+04,5.673e+04,2.974e+04,1.077e+05
38.5,1.448e+04,4.147e+04,1.638e+04,7.233e+04
40.2,1.261e+04,3.133e+04,8.530e+03,5.246e+04
41.8,1.390e+04,2.556e+04,5.807e+03,4.526e+04
43.5,1.264e+04,2.409e+04,5.381e+03,4.212e+04
45.2,1.278e+04,2.304e+04,4.617e+03,4.044e+04
46.9,1.386e+04,1.930e+04,4.250e+03,3.741e+04
48.5,1.834e+04,1.940e+04,4.824e+03,4.257e+04
50.2,2.267e+04,1.910e+04,4.281e+03,4.605e+04
51.9,1.847e+04,1.907e+04,4.383e+03,4.193e+04
53.6,1.306e+04,1.907e+04,3.705e+03,3.583e+04
55.2,9.297e+03,2.010e+04,3.812e+03,3.321e+04
56.9,7.046e+03,1.775e+04,4.033e+03,2.883e+04
58.6,6.140e+03,1.856e+04,4.822e+03,2.952e+04
60.2,6.444e+03,2.261e+04,7.290e+03,3.634e+04
61.9,8.838e+03,2.061e+04,1.182e+04,4.127e+04
63.6,1.019e+04,1.585e+04,1.330e+04,3.934e+04
65.3,9.541e+03,1.592e+04,1.400e+04,3.946e+04
66.9,6.346e+03,1.327e+04,9.446e+03,2.906e+04
68.6,5.678e+03,1.369e+04,6.722e+03,2.609e+04
70.3,4.604e+03,1.164e+04,4.351e+03,2.060e+04
72.0,4.297e+03,1.236e+04,3.108e+03,1.976e+04
73.6,4.943e+03,1.107e+04,2.944e+03,1.896e+04
75.3,5.848e+03,1.107e+04,3.438e+03,2.036e+04
77.0,5.406e+03,1.137e+04,3.484e+03,2.026e+04
78.7,3.867e+03,9.660e+03,3.238e+03,1.677e+04
80.3,4.484e+03,9.740e+03,2.828e+03,1.705e+04
82.0,5.610e+03,1.050e+04,2.577e+03,1.869e+04
83.7,4.442e+03,9.890e+03,2.205e+03,1.654e+04
85.4,5.793e+03,8.950e+03,2.534e+03,1.728e+04
