freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.873e+04,3.237e+02,3.883e+02,1.944e+04
1.7,8.919e+04,1.313e+03,1.376e+03,9.188e+04
3.4,1.016e+05,1.509e+03,1.535e+03,1.047e+05
5.1,1.451e+05,1.914e+03,1.982e+03,1.490e+05
6.8,1.556e+05,1.799e+03,1.991e+03,1.594e+05
8.5,1.999e+05,1.644e+03,1.933e+03,2.035e+05
10.3,2.772e+05,2.258e+03,2.523e+03,2.820e+05
12.0,3.765e+05,2.747e+03,2.723e+03,3.820e+05
13.7,5.417e+05,2.940e+03,3.250e+03,5.479e+05
15.4,1.006e+06,4.434e+03,4.397e+03,1.015e+06
17.1,1.973e+06,8.598e+03,7.215e+03,1.988e+06
18.8,3.439e+06,2.747e+04,1.653e+04,3.483e+06
20.5,5.509e+06,7.071e+04,3.694e+04,5.617e+06
22.2,4.837e+06,7.493e+04,5.550e+04,4.967e+06
23.9,3.871e+06,6.238e+04,6.045e+04,3.994e+06
25.6,2.469e+06,3.752e+04,6.335e+04,2.570e+06
27.3,2.122e+06,2.659e+04,7.479e+04,2.223e+06
29.0,1.544e+06,1.727e+04,9.196e+04,1.653e+06
30.8,1.132e+06,1.812e+04,1.187e+05,1.268e+06
32.5,8.528e+05,1.678e+04,9.345e+04,9.630e+05
34.2,7.166e+05,1.422e+04,5.345e+04,7.842e+05
35.9,4.419e+05,9.360e+03,2.179e+04,4.731e+05
37.6,2.590e+05,5.924e+03,1.134e+04,2.763e+05
39.3,1.572e+05,3.576e+03,6.976e+03,1.678e+05
41.0,1.253e+05,3.104e+03,5.081e+03,1.335e+05
42.7,9.996e+04,2.578e+03,5.311e+03,1.078e+05
44.4,9.756e+04,2.267e+03,5.233e+03,1.051e+05
46.1,9.991e+04,2.358e+03,4.720e+03,1.070e+05
47.8,1.322e+05,2.748e+03,4.269e+03,1.393e+05
49.6,1.326e+05,2.958e+03,4.150e+03,1.397e+05
51.3,1.090e+05,3.024e+03,3.814e+03,1.158e+05
53.0,1.100e+05,3.645e+03,3.492e+03,1.171e+05
54.7,8.863e+04,3.344e+03,3.535e+03,9.550e+04
56.4,7.677e+04,2.976e+03,4.552e+03,8.430e+04
58.1,6.473e+04,2.615e+03,5.177e+03,7.252e+04
59.8,7.532e+04,2.897e+03,6.110e+03,8.433e+04
61.5,9.546e+04,3.449e+03,9.753e+03,1.087e+05
63.2,1.048e+05,3.327e+03,1.479e+04,1.229e+05
64.9,8.729e+04,3.264e+03,1.860e+04,1.092e+05
66.6,5.839e+04,2.900e+03,1.948e+04,8.077e+04
68.3,4.733e+04,3.225e+03,2.635e+04,7.691e+04
70.1,5.420e+04,6.256e+03,2.843e+04,8.889e+04
71.8,4.836e+04,8.557e+03,2.073e+04,7.765e+04
73.5,4.602e+04,8.272e+03,1.379e+04,6.808e+04
75.2,5.395e+04,8.314e+03,9.727e+03,7.199e+04
76.9,5.194e+04,6.902e+03,7.004e+03,6.584e+04
78.6,4.935e+04,5.063e+03,6.964e+03,6.138e+04
