freq,psd_x,psd_y,psd_z,psd_xyz
67.1,6.124e+04,2.784e+03,1.771e+04,8.174e+04
68.9,6.517e+04,3.909e+03,2.086e+04,8.994e+04
70.6,5.434e+04,4.960e+03,1.915e+04,7.845e+04
72.3,5.879e+04,5.642e+03,1.358e+04,7.801e+04
74.0,7.486e+04,5.999e+03,8.458e+03,8.932e+04
75.7,7.093e+04,5.035e+03,5.790e+03,8.176e+04
77.5,5.858e+04,4.853e+03,6.708e+03,7.014e+04
79.2,5.162e+04,4.283e+03,9.118e+03,6.502e+04
80.9,4.513e+04,3.351e+03,8.990e+03,5.747e+04
82.6,5.819e+04,3.559e+03,8.574e+03,7.032e+04
84.3,8.127e+04,5.528e+03,1.159e+04,9.839e+04
86.1,1.168e+05,5.469e+03,9.651e+03,1.319e+05
87.8,1.218e+05,3.948e+03,7.426e+03,1.332e+05
89.5,1.301e+05,4.137e+03,8.343e+03,1.426e+05
91.2,1.660e+05,4.484e+03,1.288e+04,1.833e+05
93.0,1.519e+05,3.292e+03,1.539e+04,1.705e+05
94.7,9.893e+04,2.367e+03,1.365e+04,1.149e+05
96.4,6.895e+04,2.739e+03,1.550e+04,8.718e+04
98.1,7.567e+04,2.867e+03,1.865e+04,9.719e+04
99.8,1.220e+05,3.470e+03,2.390e+04,1.494e+05
101.6,1.413e+05,3.636e+03,2.562e+04,1.705e+05
103.3,1.396e+05,3.936e+03,2.317e+04,1.667e+05
105.0,1.778e+05,6.535e+03,4.009e+04,2.244e+05
106.7,2.627e+05,1.144e+04,5.148e+04,3.256e+05
108.4,2.839e+05,1.970e+04,5.818e+04,3.617e+05
110.2,2.064e+05,2.019e+04,4.560e+04,2.722e+05
111.9,1.656e+05,1.591e+04,2.831e+04,2.099e+05
113.6,1.356e+05,1.066e+04,1.919e+04,1.655e+05
115.3,1.043e+05,7.537e+03,1.375e+04,1.256e+05
117.1,1.352e+05,8.011e+03,1.549e+04,1.587e+05
118.8,1.619e+05,8.715e+03,1.833e+04,1.890e+05
120.5,1.712e+05,7.542e+03,1.590e+04,1.946e+05
122.2,2.564e+05,7.125e+03,1.609e+04,2.797e+05
123.9,2.960e+05,1.023e+04,2.064e+04,3.268e+05
125.7,2.692e+05,9.839e+03,2.103e+04,3.000e+05
127.4,1.813e+05,6.580e+03,1.879e+04,2.067e+05
129.1,1.636e+05,5.407e+03,1.994e+04,1.890e+05
130.8,1.002e+05,3.356e+03,1.954e+04,1.231e+05
132.5,8.265e+04,2.604e+03,2.256e+04,1.078e+05
134.3,5.096e+04,2.272e+03,1.940e+04,7.264e+04
136.0,4.672e+04,2.274e+03,1.872e+04,6.772e+04
137.7,4.902e+04,1.946e+03,1.385e+04,6.481e+04
139.4,5.169e+04,2.173e+03,1.457e+04,6.843e+04
141.2,4.708e+04,2.391e+03,1.781e+04,6.728e+04
142.9,5.097e+04,2.640e+03,1.416e+04,6.776e+04
144.6,5.681e+04,2.741e+03,1.127e+04,7.082e+04
146.3,5.384e+04,2.371e+03,1.195e+04,6.815e+04
148.0,4.992e+04,3.263e+03,1.275e+04,6.593e+04
149.8,6.010e+04,3.096e+03,1.414e+04,7.734e+04
151.5,5.849e+04,2.238e+03,1.106e+04,7.178e+04
153.2,4.516e+04,2.685e+03,8.919e+03,5.677e+04
154.9,3.117e+04,2.445e+03,8.483e+03,4.210e+04
156.6,2.498e+04,2.974e+03,1.220e+04,4.015e+04
158.4,2.256e+04,3.530e+03,1.213e+04,3.822e+04
160.1,2.378e+04,3.770e+03,1.187e+04,3.942e+04
161.8,1.995e+04,4.147e+03,1.236e+04,3.646e+04
163.5,1.659e+04,4.930e+03,1.528e+04,3.680e+04
165.2,1.700e+04,5.477e+03,2.088e+04,4.336e+04
167.0,2.498e+04,4.663e+03,2.035e+04,4.999e+04
168.7,3.531e+04,4.112e+03,1.445e+04,5.388e+04
170.4,2.802e+04,3.075e+03,1.136e+04,4.246e+04
172.1,2.229e+04,3.656e+03,2.054e+04,4.649e+04
173.9,2.588e+04,3.340e+03,2.186e+04,5.108e+04
175.6,2.042e+04,3.579e+03,2.411e+04,4.811e+04
177.3,1.390e+04,3.643e+03,2.215e+04,3.970e+04
179.0,1.570e+04,3.096e+03,1.641e+04,3.521e+04
180.7,1.636e+04,3.020e+03,1.987e+04,3.924e+04
182.5,1.374e+04,2.929e+03,2.050e+04,3.717e+04
184.2,1.218e+04,2.160e+03,1.487e+04,2.920e+04
185.9,1.415e+04,1.913e+03,1.458e+04,3.064e+04
187.6,1.386e+04,1.787e+03,1.344e+04,2.908e+04
189.3,1.172e+04,1.699e+03,1.188e+04,2.531e+04
191.1,1.130e+04,2.273e+03,1.660e+04,3.017e+04
192.8,1.109e+04,2.015e+03,1.226e+04,2.537e+04
194.5,1.129e+04,1.973e+03,1.358e+04,2.684e+04
196.2,1.337e+04,2.615e+03,1.869e+04,3.467e+04
198.0,1.524e+04,2.637e+03,1.849e+04,3.637e+04
199.7,1.527e+04,2.453e+03,1.783e+04,3.555e+04
