freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.951e+04,3.194e+02,3.706e+02,3.020e+04
1.7,1.048e+05,1.398e+03,1.641e+03,1.078e+05
3.4,1.323e+05,1.681e+03,1.895e+03,1.359e+05
5.2,1.780e+05,1.564e+03,2.281e+03,1.818e+05
6.9,2.151e+05,1.758e+03,2.119e+03,2.190e+05
8.6,2.655e+05,1.815e+03,2.022e+03,2.693e+05
10.3,3.978e+05,2.188e+03,2.506e+03,4.025e+05
12.0,5.907e+05,2.401e+03,2.555e+03,5.957e+05
13.8,7.682e+05,3.055e+03,2.901e+03,7.741e+05
15.5,1.364e+06,4.657e+03,4.405e+03,1.373e+06
17.2,2.502e+06,1.237e+04,6.444e+03,2.521e+06
18.9,4.822e+06,4.304e+04,1.481e+04,4.880e+06
20.7,7.615e+06,9.103e+04,4.193e+04,7.748e+06
22.4,7.331e+06,9.320e+04,6.501e+04,7.489e+06
24.1,4.560e+06,6.446e+04,6.560e+04,4.690e+06
25.8,3.476e+06,5.005e+04,6.669e+04,3.593e+06
27.5,2.944e+06,3.295e+04,5.792e+04,3.035e+06
29.3,1.969e+06,1.915e+04,4.760e+04,2.036e+06
31.0,1.614e+06,1.656e+04,6.404e+04,1.694e+06
32.7,1.212e+06,1.466e+04,8.319e+04,1.310e+06
34.4,9.699e+05,1.460e+04,5.757e+04,1.042e+06
36.1,7.224e+05,1.265e+04,2.832e+04,7.634e+05
37.9,3.935e+05,7.745e+03,1.183e+04,4.131e+05
39.6,1.943e+05,4.169e+03,6.156e+03,2.046e+05
41.3,1.830e+05,3.290e+03,5.644e+03,1.919e+05
43.0,1.405e+05,2.513e+03,5.350e+03,1.484e+05
44.8,1.316e+05,2.118e+03,4.388e+03,1.381e+05
46.5,1.279e+05,2.310e+03,3.762e+03,1.339e+05
48.2,1.416e+05,2.486e+03,3.438e+03,1.475e+05
49.9,1.735e+05,2.482e+03,3.096e+03,1.790e+05
51.6,1.643e+05,2.764e+03,3.270e+03,1.703e+05
53.4,1.381e+05,3.022e+03,3.807e+03,1.450e+05
55.1,9.108e+04,2.445e+03,4.138e+03,9.766e+04
56.8,7.529e+04,2.149e+03,4.299e+03,8.174e+04
58.5,6.604e+04,2.286e+03,4.898e+03,7.322e+04
60.2,5.536e+04,2.238e+03,6.141e+03,6.373e+04
62.0,5.844e+04,2.443e+03,7.456e+03,6.834e+04
63.7,8.288e+04,2.895e+03,1.202e+04,9.779e+04
65.4,8.619e+04,3.252e+03,1.571e+04,1.051e+05
