freq,psd_x,psd_y,psd_z,psd_xyz
180.4,1.021e+04,1.810e+03,9.374e+03,2.139e+04
182.1,1.012e+04,1.577e+03,1.164e+04,2.333e+04
183.8,8.849e+03,1.424e+03,9.380e+03,1.965e+04
185.5,8.761e+03,1.244e+03,6.982e+03,1.699e+04
187.3,1.019e+04,1.328e+03,8.294e+03,1.981e+04
189.0,1.010e+04,1.468e+03,9.956e+03,2.153e+04
190.7,9.287e+03,1.688e+03,1.206e+04,2.303e+04
192.4,9.405e+03,1.752e+03,1.346e+04,2.461e+04
194.1,8.628e+03,2.046e+03,1.412e+04,2.479e+04
195.8,9.137e+03,2.051e+03,1.525e+04,2.643e+04
197.5,8.388e+03,2.552e+03,1.927e+04,3.021e+04
199.2,1.011e+04,2.274e+03,1.781e+04,3.020e+04
